VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1334597     10 0.28896 0.28896 40.77616  0.13570  0.00000  0.01675
SN: 1310395     10 0.28899 0.28899 40.79260  0.14540  0.00000  0.05086
SN: 1289288     10 0.29001 0.29001 40.78224  0.16450  0.00000  0.02868
SN: 1538019     10 0.29069 0.29069 40.87422  0.14440  0.00000  0.02316
SN: 1371022     10 0.29082 0.29082 40.84921  0.13970  0.00000  0.04443
SN: 1861178     10 0.29094 0.29094 40.60525  0.14360  0.00000  0.04506
SN: 1367140     10 0.29098 0.29098 40.79854  0.14540  0.00000  0.06174
SN: 1531089     10 0.29149 0.29149 40.79035  0.14470  0.00000  0.02131
SN: 1302123     10 0.29156 0.29156 41.09314  0.19010  0.00000  0.01411
SN: 1263715     10 0.29186 0.29186 40.85506  0.14490  0.00000  0.01805
SN: 1292227     10 0.29186 0.29186 40.78450  0.17570  0.00000  0.01729
SN: 1262550     10 0.29209 0.29209 40.90631  0.15850  0.00000  0.01190
SN: 1340706     10 0.29324 0.29324 41.04098  0.14280  0.00000  0.05257
SN: 1266255     10 0.29358 0.29358 40.93426  0.18500  0.00000  0.02431
SN: 1721068     10 0.29377 0.29377 40.96541  0.17440  0.00000  0.03681
SN: 1770178     10 0.29394 0.29394 40.73796  0.21930  0.00000  0.01816
SN: 1256680     10 0.29438 0.29438 41.16274  0.17130  0.00000  0.04317
SN: 1310432     10 0.29471 0.29471 40.76648  0.14330  0.00000  0.02811
SN: 1300703     10 0.29572 0.29572 41.45319  0.20980  0.00000  0.03210
SN: 1257934     10 0.29648 0.29648 40.75223  0.14560  0.00000  0.05909
SN: 1291346     10 0.29770 0.29770 40.79452  0.14650  0.00000  0.03691
SN: 1901115     10 0.29875 0.29875 40.97529  0.14770  0.00000  0.03515
SN: 1305051     10 0.29888 0.29888 41.07992  0.16000  0.00000  0.01972
SN: 1547071     10 0.29911 0.29911 41.11170  0.15650  0.00000  0.03291
SN: 1321006     10 0.30245 0.30245 41.14628  0.16500  0.00000  0.01685
SN: 1294948     10 0.30246 0.30246 40.50378  0.13870  0.00000  0.03887
SN: 1339002     10 0.30252 0.30252 40.94099  0.16730  0.00000  0.02511
SN: 1905171     10 0.30307 0.30307 41.23842  0.15690  0.00000  0.07457
SN: 1287626     10 0.30396 0.30396 40.89008  0.15530  0.00000  0.03997
SN: 1259412     10 0.30477 0.30477 40.91062  0.14330  0.00000  0.03896
SN: 1335717     10 0.30478 0.30478 41.20001  0.13770  0.00000  0.05037
SN: 1340954     10 0.30517 0.30517 40.87650  0.15010  0.00000  0.01640
SN: 1368131     10 0.30694 0.30694 41.10192  0.18380  0.00000  0.01701
SN: 1281668     10 0.30697 0.30697 41.03067  0.14460  0.00000  0.03325
SN: 1777124     10 0.30744 0.30744 41.29175  0.17490  0.00000  0.03010
SN: 1249855     10 0.30845 0.30845 41.03606  0.21780  0.00000  0.04027
SN: 1319821     10 0.30880 0.30880 41.15830  0.15640  0.00000  0.01294
SN: 1292767     10 0.30893 0.30893 40.89333  0.14550  0.00000  0.05131
SN: 1650024     10 0.30994 0.30994 41.13345  0.15660  0.00000  0.02967
SN: 1321338     10 0.31049 0.31049 41.06228  0.16280  0.00000  0.06697
SN: 1264434     10 0.31075 0.31075 41.28228  0.15450  0.00000  0.01441
SN: 1338128     10 0.31185 0.31185 41.18858  0.13250  0.00000  0.03012
SN: 1791116     10 0.31193 0.31193 40.96501  0.13940  0.00000  0.02899
SN: 1337838     10 0.31194 0.31194 41.00812  0.13670  0.00000  0.02792
SN: 1263369     10 0.31252 0.31252 41.03461  0.14480  0.00000  0.01186
SN: 1662023     10 0.31268 0.31268 40.90652  0.14520  0.00000  0.01298
SN: 1283878     10 0.31287 0.31287 41.31034  0.23380  0.00000  0.01265
SN: 1341894     10 0.31294 0.31294 41.11274  0.15390  0.00000  0.02381
SN: 1850045     10 0.31314 0.31314 41.01375  0.15120  0.00000  0.03004
SN: 1258704     10 0.31507 0.31507 40.98718  0.15790  0.00000  0.01464
SN: 1943111     10 0.31562 0.31562 41.09316  0.13850  0.00000  0.01918
SN: 1929024     10 0.31564 0.31564 41.18849  0.13860  0.00000  0.06865
SN: 1913214     10 0.31615 0.31615 41.16019  0.15240  0.00000  0.03097
SN: 1774102     10 0.31626 0.31626 41.10919  0.21970  0.00000  0.02705
SN: 1300179     10 0.31723 0.31723 41.12729  0.14230  0.00000  0.01942
SN: 1265165     10 0.31752 0.31752 41.05527  0.17790  0.00000  0.01818
SN: 1331899     10 0.31783 0.31783 41.54079  0.29390  0.00000  0.02529
SN: 1345553     10 0.31795 0.31795 41.10982  0.15510  0.00000  0.04808
SN: 1625037     10 0.31864 0.31864 41.07666  0.13960  0.00000  0.02163
SN: 1253119     10 0.31916 0.31916 41.07801  0.18650  0.00000  0.01599
SN: 1897267     10 0.31920 0.31920 41.29348  0.14230  0.00000  0.05879
SN: 1259615     10 0.32008 0.32008 40.89750  0.15350  0.00000  0.01830
SN: 1293366     10 0.32040 0.32040 41.42703  0.19660  0.00000  0.01584
SN: 1566028     10 0.32060 0.32060 40.95489  0.13800  0.00000  0.01174
SN: 1246527     10 0.32078 0.32078 41.39071  0.15580  0.00000  0.01682
SN: 1366482     10 0.32154 0.32154 41.32844  0.13380  0.00000  0.01367
SN: 1261579     10 0.32214 0.32214 41.08947  0.13440  0.00000  0.02044
SN: 1248243     10 0.32395 0.32395 41.24623  0.14680  0.00000  0.03577
SN: 1292033     10 0.32473 0.32473 41.16871  0.16260  0.00000  0.03487
SN: 1592028     10 0.32510 0.32510 41.15521  0.13650  0.00000  0.02577
SN: 1340700     10 0.32551 0.32551 41.07297  0.14880  0.00000  0.02175
SN: 1305626     10 0.32572 0.32572 41.21992  0.13290  0.00000  0.05036
SN: 1308326     10 0.32622 0.32622 41.12379  0.13820  0.00000  0.03043
SN: 1469040     10 0.32670 0.32670 41.11737  0.15850  0.00000  0.01834
SN: 1326045     10 0.32699 0.32699 41.00888  0.14040  0.00000  0.04507
SN: 1314071     10 0.32707 0.32707 41.08757  0.14860  0.00000  0.02314
SN: 1259511     10 0.32710 0.32710 41.22023  0.13690  0.00000  0.01172
SN: 1306073     10 0.32859 0.32859 41.22679  0.15410  0.00000  0.02215
SN: 1293783     10 0.32874 0.32874 40.79083  0.23260  0.00000  0.07393
SN: 1904060     10 0.32890 0.32890 41.14115  0.13870  0.00000  0.05865
SN: 1316465     10 0.32909 0.32909 41.16099  0.13020  0.00000  0.04261
SN: 1266808     10 0.32931 0.32931 41.83008  0.25190  0.00000  0.01358
SN: 1569050     10 0.32989 0.32989 41.19575  0.14310  0.00000  0.06818
SN: 1338675     10 0.33048 0.33048 41.31841  0.12360  0.00000  0.04165
SN: 1264068     10 0.33055 0.33055 41.17996  0.17090  0.00000  0.01740
SN: 1322697     10 0.33075 0.33075 41.44046  0.19610  0.00000  0.01846
SN: 1321276     10 0.33122 0.33122 41.41436  0.15080  0.00000  0.01249
SN: 1325475     10 0.33150 0.33150 41.13839  0.15240  0.00000  0.01826
SN: 1449074     10 0.33186 0.33186 41.22786  0.15610  0.00000  0.01626
SN: 1306141     10 0.33240 0.33240 41.12597  0.13560  0.00000  0.01407
SN: 1257356     10 0.33257 0.33257 41.22200  0.14980  0.00000  0.01239
SN: 1260241     10 0.33337 0.33337 41.25151  0.19090  0.00000  0.01061
SN: 1346956     10 0.33352 0.33352 41.07664  0.14850  0.00000  0.02056
SN: 1295024     10 0.33386 0.33386 41.27202  0.16650  0.00000  0.03284
SN: 1262190     10 0.33388 0.33388 41.22862  0.14190  0.00000  0.02468
SN: 1319066     10 0.33403 0.33403 41.38966  0.15020  0.00000  0.06636
SN: 1335305     10 0.33403 0.33403 41.63196  0.16450  0.00000  0.03612
SN: 1480038     10 0.33424 0.33424 41.15858  0.15690  0.00000  0.02348
SN: 1531112     10 0.33470 0.33470 41.19457  0.14110  0.00000  0.03077
SN: 1309293     10 0.33472 0.33472 41.29164  0.13870  0.00000  0.04786
SN: 1297318     10 0.33480 0.33480 41.26970  0.16490  0.00000  0.07936
SN: 1323016     10 0.33486 0.33486 41.46884  0.16730  0.00000  0.02651
SN: 1346966     10 0.33513 0.33513 41.11272  0.14310  0.00000  0.03691
SN: 1254723     10 0.33540 0.33540 41.15302  0.15200  0.00000  0.02642
SN: 1929216     10 0.33585 0.33585 41.24643  0.14890  0.00000  0.01726
SN: 1289976     10 0.33618 0.33618 41.32852  0.18680  0.00000  0.08766
SN: 1314897     10 0.33663 0.33663 41.26058  0.15180  0.00000  0.02886
SN: 1287437     10 0.33681 0.33681 41.12233  0.18750  0.00000  0.01598
SN: 1257016     10 0.33743 0.33743 41.12445  0.14870  0.00000  0.01797
SN: 1248489     10 0.33753 0.33753 41.20322  0.15060  0.00000  0.01470
SN: 1313057     10 0.33754 0.33754 41.50950  0.14970  0.00000  0.03806
SN: 1322819     10 0.33759 0.33759 41.40600  0.15120  0.00000  0.01255
SN: 1263197     10 0.33778 0.33778 40.98822  0.15480  0.00000  0.07001
SN: 1300912     10 0.33780 0.33780 41.26851  0.13320  0.00000  0.02417
SN: 1723034     10 0.33784 0.33784 41.36993  0.21980  0.00000  0.02050
SN: 1262131     10 0.33802 0.33802 41.21816  0.14250  0.00000  0.01619
SN: 1294351     10 0.33829 0.33829 41.34560  0.15300  0.00000  0.00830
SN: 1263989     10 0.33845 0.33845 41.02663  0.14650  0.00000  0.01976
SN: 1643312     10 0.34037 0.34037 41.23565  0.14670  0.00000  0.02805
SN: 1933035     10 0.34105 0.34105 41.72244  0.23990  0.00000  0.07702
SN: 1308357     10 0.34157 0.34157 41.25340  0.15220  0.00000  0.02089
SN: 1336009     10 0.34175 0.34175 41.34262  0.14370  0.00000  0.01429
SN: 1332819     10 0.34181 0.34181 41.25956  0.15570  0.00000  0.01405
SN: 1305835     10 0.34196 0.34196 41.34975  0.16940  0.00000  0.04576
SN: 1368530     10 0.34225 0.34225 41.46742  0.14570  0.00000  0.03310
SN: 1259544     10 0.34246 0.34246 41.67601  0.17040  0.00000  0.01782
SN: 1301936     10 0.34304 0.34304 41.67315  0.15080  0.00000  0.05060
SN: 1248925     10 0.34308 0.34308 41.42364  0.14420  0.00000  0.01857
SN: 1876421     10 0.34313 0.34313 41.39326  0.14930  0.00000  0.02051
SN: 1278576     10 0.34375 0.34375 41.37294  0.22480  0.00000  0.06659
SN: 1327645     10 0.34384 0.34384 41.33184  0.16320  0.00000  0.03798
SN: 1531108     10 0.34388 0.34388 41.22600  0.14220  0.00000  0.04562
SN: 1371048     10 0.34392 0.34392 41.12088  0.16980  0.00000  0.01219
SN: 1323106     10 0.34417 0.34417 41.35439  0.16710  0.00000  0.02001
SN: 1948484     10 0.34437 0.34437 41.30791  0.18410  0.00000  0.01248
SN: 1318661     10 0.34451 0.34451 41.51833  0.20280  0.00000  0.02879
SN: 1329312     10 0.34479 0.34479 41.50155  0.17790  0.00000  0.01614
SN: 1256570     10 0.34548 0.34548 41.50895  0.16630  0.00000  0.01153
SN: 1292823     10 0.34565 0.34565 41.38698  0.13690  0.00000  0.02683
SN: 1770442     10 0.34579 0.34579 41.28591  0.15320  0.00000  0.01228
SN: 1253029     10 0.34582 0.34582 41.51857  0.15910  0.00000  0.03083
SN: 1277715     10 0.34602 0.34602 41.42583  0.13980  0.00000  0.01467
SN: 1292084     10 0.34638 0.34638 41.38846  0.26940  0.00000  0.03056
SN: 1265011     10 0.34689 0.34689 41.07509  0.17740  0.00000  0.01339
SN: 1593067     10 0.34776 0.34776 41.49390  0.16220  0.00000  0.07034
SN: 1345798     10 0.34793 0.34793 41.22009  0.17290  0.00000  0.01507
SN: 1278602     10 0.34800 0.34800 41.37327  0.16510  0.00000  0.03184
SN: 1919042     10 0.34814 0.34814 41.28052  0.14120  0.00000  0.06570
SN: 1295315     10 0.34887 0.34887 41.20145  0.15520  0.00000  0.03268
SN: 1258906     10 0.34918 0.34918 41.30736  0.14390  0.00000  0.04736
SN: 1773049     10 0.35023 0.35023 41.28991  0.14560  0.00000  0.01105
SN: 1432027     10 0.35039 0.35039 41.21625  0.13860  0.00000  0.02692
SN: 1328016     10 0.35072 0.35072 41.09362  0.18530  0.00000  0.02821
SN: 1266337     10 0.35122 0.35122 41.39516  0.64180  0.00000  0.01721
SN: 1254356     10 0.35129 0.35129 41.51786  0.16380  0.00000  0.01969
SN: 1314554     10 0.35160 0.35160 41.18450  0.22230  0.00000  0.04468
SN: 1257040     10 0.35177 0.35177 41.29601  0.14820  0.00000  0.01417
SN: 1261503     10 0.35211 0.35211 41.25306  0.17380  0.00000  0.00675
SN: 1256765     10 0.35268 0.35268 42.07824  0.22600  0.00000  0.03613
SN: 1256933     10 0.35284 0.35284 41.37696  0.15570  0.00000  0.01658
SN: 1324562     10 0.35299 0.35299 41.34983  0.14520  0.00000  0.02710
SN: 1278793     10 0.35317 0.35317 41.26348  0.19720  0.00000  0.02476
SN: 1276546     10 0.35330 0.35330 41.51413  0.15880  0.00000  0.03908
SN: 1770802     10 0.35351 0.35351 41.28054  0.19020  0.00000  0.05700
SN: 1935471     10 0.35434 0.35434 41.30901  0.16200  0.00000  0.02706
SN: 1251552     10 0.35485 0.35485 41.62931  0.15650  0.00000  0.02834
SN: 1255312     10 0.35561 0.35561 41.24128  0.16030  0.00000  0.01185
SN: 1295592     10 0.35631 0.35631 41.16652  0.15920  0.00000  0.01381
SN: 1331836     10 0.35667 0.35667 41.28330  0.15000  0.00000  0.03036
SN: 1324790     10 0.35724 0.35724 41.34142  0.14260  0.00000  0.04647
SN: 1247022     10 0.35763 0.35763 41.74182  0.19620  0.00000  0.07252
SN: 1334423     10 0.35791 0.35791 41.42245  0.14730  0.00000  0.05269
SN: 1450026     10 0.35832 0.35832 41.56976  0.16630  0.00000  0.01108
SN: 1250357     10 0.35843 0.35843 41.51697  0.15510  0.00000  0.01851
SN: 1326489     10 0.35879 0.35879 41.34980  0.19150  0.00000  0.01395
SN: 1302915     10 0.35922 0.35922 41.38876  0.14920  0.00000  0.02077
SN: 1368458     10 0.35939 0.35939 41.65583  0.19370  0.00000  0.04644
SN: 1307830     10 0.35948 0.35948 41.54926  0.15940  0.00000  0.00947
SN: 1315950     10 0.35948 0.35948 41.47407  0.15190  0.00000  0.01725
SN: 1318235     10 0.36002 0.36002 41.58003  0.14700  0.00000  0.03105
SN: 1948060     10 0.36002 0.36002 41.23985  0.15600  0.00000  0.02431
SN: 1264512     10 0.36028 0.36028 41.38856  0.15220  0.00000  0.01161
SN: 1645158     10 0.36048 0.36048 41.49212  0.15970  0.00000  0.01596
SN: 1294340     10 0.36088 0.36088 41.39656  0.15950  0.00000  0.01239
SN: 1316701     10 0.36116 0.36116 41.58897  0.17030  0.00000  0.02444
SN: 1253406     10 0.36131 0.36131 41.58645  0.26500  0.00000  0.01461
SN: 1266015     10 0.36160 0.36160 41.24124  0.16600  0.00000  0.01746
SN: 1923415     10 0.36161 0.36161 41.25539  0.14590  0.00000  0.03767
SN: 1905244     10 0.36176 0.36176 41.48010  0.15680  0.00000  0.02089
SN: 1294014     10 0.36271 0.36271 41.34423  0.16890  0.00000  0.00734
SN: 1346137     10 0.36326 0.36326 41.28529  0.14810  0.00000  0.06441
SN: 1703026     10 0.36391 0.36391 41.52839  0.18500  0.00000  0.01049
SN: 1330533     10 0.36444 0.36444 41.59278  0.16610  0.00000  0.00951
SN: 1333291     10 0.36461 0.36461 41.51022  0.14380  0.00000  0.01835
SN: 1255735     10 0.36464 0.36464 41.53525  0.13300  0.00000  0.04675
SN: 1920365     10 0.36550 0.36550 41.39151  0.14150  0.00000  0.01138
SN: 1299746     10 0.36571 0.36571 41.35494  0.15000  0.00000  0.02585
SN: 1318460     10 0.36605 0.36605 41.25320  0.14130  0.00000  0.05682
SN: 1500031     10 0.36606 0.36606 41.70091  0.14360  0.00000  0.02766
SN: 1258090     10 0.36656 0.36656 41.52449  0.17080  0.00000  0.04640
SN: 1344639     10 0.36672 0.36672 41.33822  0.17770  0.00000  0.01656
SN: 1308582     10 0.36704 0.36704 41.31207  0.16550  0.00000  0.01730
SN: 1330828     10 0.36706 0.36706 41.45925  0.16390  0.00000  0.02596
SN: 1431163     10 0.36711 0.36711 41.35303  0.15010  0.00000  0.01773
SN: 1770386     10 0.36796 0.36796 41.46433  0.15180  0.00000  0.00848
SN: 1904092     10 0.36798 0.36798 41.51636  0.15920  0.00000  0.02052
SN: 1294341     10 0.36799 0.36799 41.42043  0.17800  0.00000  0.02111
SN: 1249245     10 0.36835 0.36835 41.37125  0.15770  0.00000  0.03092
SN: 1343533     10 0.36844 0.36844 41.46451  0.20670  0.00000  0.00907
SN: 1283936     10 0.36862 0.36862 41.58636  0.14730  0.00000  0.02941
SN: 1918076     10 0.36967 0.36967 41.59066  0.15060  0.00000  0.01283
SN: 1321973     10 0.37043 0.37043 41.41107  0.17780  0.00000  0.01191
SN: 1323600     10 0.37045 0.37045 41.50717  0.16470  0.00000  0.01320
SN: 1638030     10 0.37136 0.37136 41.44721  0.16840  0.00000  0.01533
SN: 1291957     10 0.37143 0.37143 41.40795  0.14890  0.00000  0.03800
SN: 1319539     10 0.37177 0.37177 41.43220  0.16660  0.00000  0.03244
SN: 1255412     10 0.37203 0.37203 41.59893  0.16930  0.00000  0.01900
SN: 1291511     10 0.37229 0.37229 41.37173  0.18530  0.00000  0.00985
SN: 1256490     10 0.37234 0.37234 41.63638  0.16760  0.00000  0.02689
SN: 1318126     10 0.37299 0.37299 41.52733  0.14620  0.00000  0.03973
SN: 1434203     10 0.37567 0.37567 41.44410  0.14210  0.00000  0.04257
SN: 1299643     10 0.37678 0.37678 41.47122  0.14170  0.00000  0.02679
SN: 1372045     10 0.37695 0.37695 41.59645  0.15030  0.00000  0.01852
SN: 1879532     10 0.37719 0.37719 41.32790  0.14880  0.00000  0.01439
SN: 1282736     10 0.37798 0.37798 41.41993  0.15530  0.00000  0.02646
SN: 1315795     10 0.37813 0.37813 41.26589  0.15330  0.00000  0.03585
SN: 1847100     10 0.37890 0.37890 41.50161  0.14560  0.00000  0.04514
SN: 1852058     10 0.37900 0.37900 41.54940  0.15130  0.00000  0.03199
SN: 1344692     10 0.37935 0.37935 41.69317  0.21800  0.00000  0.06733
SN: 1948209     10 0.37942 0.37942 41.52454  0.13810  0.00000  0.03427
SN: 1299785     10 0.38131 0.38131 41.43092  0.14880  0.00000  0.01105
SN: 1255399     10 0.38138 0.38138 41.46010  0.17230  0.00000  0.01114
SN: 1276504     10 0.38172 0.38172 41.82984  0.27780  0.00000  0.01019
SN: 1324582     10 0.38186 0.38186 41.64415  0.16450  0.00000  0.04427
SN: 1781042     10 0.38187 0.38187 41.59436  0.24270  0.00000  0.01638
SN: 1923060     10 0.38248 0.38248 41.45555  0.14320  0.00000  0.02516
SN: 1925122     10 0.38275 0.38275 42.01639  0.16830  0.00000  0.02951
SN: 1343401     10 0.38283 0.38283 41.41472  0.19010  0.00000  0.01512
SN: 1250275     10 0.38323 0.38323 41.39321  0.16220  0.00000  0.00989
SN: 1262135     10 0.38328 0.38328 41.55189  0.15320  0.00000  0.00735
SN: 1246314     10 0.38338 0.38338 41.84527  0.16230  0.00000  0.05937
SN: 1283272     10 0.38353 0.38353 41.46989  0.18330  0.00000  0.02853
SN: 1309632     10 0.38360 0.38360 41.79827  0.17590  0.00000  0.01883
SN: 1501075     10 0.38374 0.38374 41.47764  0.16830  0.00000  0.02270
SN: 1956190     10 0.38374 0.38374 41.59176  0.15420  0.00000  0.01813
SN: 1281886     10 0.38393 0.38393 41.54498  0.15750  0.00000  0.00904
SN: 1878522     10 0.38398 0.38398 41.52234  0.14650  0.00000  0.05552
SN: 1291788     10 0.38400 0.38400 41.86845  0.17190  0.00000  0.03174
SN: 1944033     10 0.38467 0.38467 41.74867  0.19890  0.00000  0.05215
SN: 1266024     10 0.38491 0.38491 41.67767  0.19370  0.00000  0.02370
SN: 1289913     10 0.38496 0.38496 41.16432  0.14900  0.00000  0.01044
SN: 1249090     10 0.38620 0.38620 41.68550  0.16470  0.00000  0.01119
SN: 1338170     10 0.38676 0.38676 41.50619  0.15710  0.00000  0.02252
SN: 1257022     10 0.38684 0.38684 41.63031  0.15200  0.00000  0.00892
SN: 1336464     10 0.38733 0.38733 41.56172  0.16690  0.00000  0.00885
SN: 1702096     10 0.38809 0.38809 41.95201  0.20770  0.00000  0.06145
SN: 1702083     10 0.38884 0.38884 41.61714  0.15070  0.00000  0.04332
SN: 1879414     10 0.38889 0.38889 41.66397  0.13150  0.00000  0.01331
SN: 1297049     10 0.38947 0.38947 41.53734  0.18650  0.00000  0.06516
SN: 1260058     10 0.38949 0.38949 41.36313  0.14500  0.00000  0.01507
SN: 1643313     10 0.39044 0.39044 41.69965  0.14980  0.00000  0.03099
SN: 1435067     10 0.39136 0.39136 41.64022  0.16050  0.00000  0.00642
SN: 1773237     10 0.39187 0.39187 41.60410  0.17070  0.00000  0.01658
SN: 1331130     10 0.39190 0.39190 41.80590  0.21620  0.00000  0.06577
SN: 1923155     10 0.39201 0.39201 41.88818  0.13420  0.00000  0.04001
SN: 1618036     10 0.39216 0.39216 41.68358  0.14910  0.00000  0.01196
SN: 1246626     10 0.39283 0.39283 41.66013  0.14090  0.00000  0.05474
SN: 1790098     10 0.39299 0.39299 41.69223  0.13920  0.00000  0.01587
SN: 1263291     10 0.39362 0.39362 41.56763  0.14060  0.00000  0.05633
SN: 1315910     10 0.39365 0.39365 42.22114  0.25430  0.00000  0.02967
SN: 1317783     10 0.39436 0.39436 41.59908  0.15280  0.00000  0.03481
SN: 1431064     10 0.39494 0.39494 41.87838  0.15220  0.00000  0.01149
SN: 1291794     10 0.39512 0.39512 41.60213  0.16830  0.00000  0.01881
SN: 1250464     10 0.39555 0.39555 41.80549  0.17290  0.00000  0.05676
SN: 1247217     10 0.39617 0.39617 41.76039  0.16160  0.00000  0.03048
SN: 1318304     10 0.39765 0.39765 41.60562  0.14640  0.00000  0.02898
SN: 1291783     10 0.39821 0.39821 41.88411  0.18890  0.00000  0.01002
SN: 1335885     10 0.39932 0.39932 41.75940  0.19190  0.00000  0.01678
SN: 1300517     10 0.40031 0.40031 41.56172  0.14790  0.00000  0.01649
SN: 1275873     10 0.40189 0.40189 41.74393  0.21970  0.00000  0.01185
SN: 1408024     10 0.40229 0.40229 41.62096  0.14120  0.00000  0.01305
SN: 1513071     10 0.40290 0.40290 41.79459  0.14630  0.00000  0.01656
SN: 1257419     10 0.40361 0.40361 41.79720  0.17140  0.00000  0.00946
SN: 1329615     10 0.40361 0.40361 41.71717  0.16700  0.00000  0.01682
SN: 1366175     10 0.40462 0.40462 41.87046  0.21580  0.00000  0.02178
SN: 1304777     10 0.40476 0.40476 41.56712  0.15110  0.00000  0.01433
SN: 1284601     10 0.40512 0.40512 41.75862  0.16070  0.00000  0.02029
SN: 1880632     10 0.40538 0.40538 41.58238  0.15780  0.00000  0.04941
SN: 1331513     10 0.40573 0.40573 41.80756  0.17190  0.00000  0.03469
SN: 1537020     10 0.40597 0.40597 41.86934  0.14120  0.00000  0.02182
SN: 1318266     10 0.40626 0.40626 41.79221  0.18240  0.00000  0.01909
SN: 1308314     10 0.40648 0.40648 41.83918  0.14260  0.00000  0.00986
SN: 1312213     10 0.40697 0.40697 42.04813  0.21530  0.00000  0.02521
SN: 1719037     10 0.40746 0.40746 41.73755  0.15990  0.00000  0.00616
SN: 1916207     10 0.40841 0.40841 41.83634  0.14730  0.00000  0.02650
SN: 1892217     10 0.40897 0.40897 41.70361  0.13670  0.00000  0.00962
SN: 1341370     10 0.40900 0.40900 41.76408  0.16450  0.00000  0.04817
SN: 1306390     10 0.40911 0.40911 41.80527  0.20190  0.00000  0.03059
SN: 1300160     10 0.40926 0.40926 41.45527  0.15440  0.00000  0.01956
SN: 1337971     10 0.41067 0.41067 42.28007  0.17770  0.00000  0.01875
SN: 1495047     10 0.41097 0.41097 41.93263  0.15350  0.00000  0.01702
SN: 1307277     10 0.41114 0.41114 41.70867  0.18840  0.00000  0.00871
SN: 1430136     10 0.41235 0.41235 41.87472  0.17360  0.00000  0.02910
SN: 1249142     10 0.41316 0.41316 41.79913  0.15950  0.00000  0.01604
SN: 1300025     10 0.41357 0.41357 41.55856  0.14680  0.00000  0.04552
SN: 1292997     10 0.41447 0.41447 41.60571  0.20330  0.00000  0.02461
SN: 1301963     10 0.41527 0.41527 41.74176  0.15440  0.00000  0.02031
SN: 1260949     10 0.41568 0.41568 41.72412  0.14080  0.00000  0.01220
SN: 1418043     10 0.41581 0.41581 41.87150  0.17870  0.00000  0.01031
SN: 1263893     10 0.41590 0.41590 41.75773  0.15630  0.00000  0.01592
SN: 1289600     10 0.41962 0.41962 42.05126  0.14480  0.00000  0.02774
SN: 1265426     10 0.42030 0.42030 41.95105  0.15500  0.00000  0.00947
SN: 1306578     10 0.42044 0.42044 41.55340  0.15030  0.00000  0.03440
SN: 1947183     10 0.42048 0.42048 41.83679  0.19280  0.00000  0.02740
SN: 1306626     10 0.42089 0.42089 41.74297  0.15010  0.00000  0.01406
SN: 1330304     10 0.42094 0.42094 41.83115  0.23420  0.00000  0.03571
SN: 1337311     10 0.42132 0.42132 41.98038  0.17510  0.00000  0.00690
SN: 1876308     10 0.42147 0.42147 42.01283  0.15780  0.00000  0.01987
SN: 1306991     10 0.42199 0.42199 41.70612  0.20700  0.00000  0.01981
SN: 1332721     10 0.42224 0.42224 42.24818  0.16520  0.00000  0.03605
SN: 1345594     10 0.42241 0.42241 41.71116  0.20800  0.00000  0.03273
SN: 1567044     10 0.42274 0.42274 41.73325  0.16460  0.00000  0.01056
SN: 1368143     10 0.42349 0.42349 41.79750  0.15580  0.00000  0.01224
SN: 1282018     10 0.42377 0.42377 41.73714  0.19540  0.00000  0.02311
SN: 1302523     10 0.42391 0.42391 41.82987  0.14360  0.00000  0.01953
SN: 1311632     10 0.42421 0.42421 41.64851  0.15570  0.00000  0.00542
SN: 1368153     10 0.42427 0.42427 41.96717  0.15480  0.00000  0.05297
SN: 1516019     10 0.42437 0.42437 41.94283  0.15150  0.00000  0.04216
SN: 1776329     10 0.42445 0.42445 41.68832  0.18360  0.00000  0.02689
SN: 1312274     10 0.42450 0.42450 41.85298  0.16890  0.00000  0.00822
SN: 1264039     10 0.42460 0.42460 42.06223  0.13400  0.00000  0.02885
SN: 1295027     10 0.42562 0.42562 41.81006  0.16400  0.00000  0.01597
SN: 1280039     10 0.42569 0.42569 41.88607  0.20000  0.00000  0.02502
SN: 1258940     10 0.42594 0.42594 41.91183  0.16280  0.00000  0.02746
SN: 1338324     10 0.42602 0.42602 42.08434  0.20370  0.00000  0.05307
SN: 1335432     10 0.42693 0.42693 41.92771  0.14430  0.00000  0.00915
SN: 1408068     10 0.42714 0.42714 42.05472  0.16680  0.00000  0.02069
SN: 1264106     10 0.42750 0.42750 41.72065  0.16040  0.00000  0.01941
SN: 1655086     10 0.42781 0.42781 41.89014  0.12860  0.00000  0.05511
SN: 1336359     10 0.42822 0.42822 42.35549  0.20270  0.00000  0.03737
SN: 1618042     10 0.42893 0.42893 41.98793  0.14710  0.00000  0.01964
SN: 1810236     10 0.42927 0.42927 41.93132  0.16080  0.00000  0.00519
SN: 1248534     10 0.42960 0.42960 41.85364  0.15820  0.00000  0.03361
SN: 1265040     10 0.42981 0.42981 41.69430  0.26850  0.00000  0.02176
SN: 1304456     10 0.42990 0.42990 41.78572  0.15900  0.00000  0.02697
SN: 1260159     10 0.43035 0.43035 41.93791  0.18300  0.00000  0.00960
SN: 1719040     10 0.43069 0.43069 41.60016  0.16370  0.00000  0.01293
SN: 1916124     10 0.43071 0.43071 41.79023  0.15510  0.00000  0.02122
