VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: PSNJ0153424 150 0.02555 0.02555 35.27837  0.14840  0.07180  0.06409
SN: SN2017mf   150 0.02578 0.02578 35.44362  0.14940  0.07110  0.04224
SN: ASASSN-15mf 150 0.02653 0.02653 35.23905  0.15030  0.06910  0.03013
SN: 2005ms      64 0.02669 0.02669 35.43149  0.15300  0.06870  0.02881
SN: ASASSN-17at 150 0.02711 0.02711 35.38198  0.15110  0.06770  0.03323
SN: 2007co      64 0.02731 0.02731 35.27591  0.15250  0.06720  0.08803
SN: 2007su      65 0.02740 0.02740 35.47758  0.17070  0.06700  0.12871
SN: 2006ev      64 0.02810 0.02810 35.75078  0.15430  0.06530  0.05597
SN: 2005eq      64 0.02823 0.02823 35.74709  0.14790  0.06500  0.03458
SN: 2003U       63 0.02833 0.02833 35.41438  0.16240  0.06480  0.01521
SN: AT2017ns   150 0.02844 0.02844 35.31282  0.15490  0.06460  0.18810
SN: 2007is      65 0.02866 0.02866 35.45876  0.17150  0.06410  0.02351
SN: 2006qo      64 0.02898 0.02898 35.47786  0.16110  0.06340  0.14268
SN: ASASSN-16ay 150 0.02900 0.02900 35.66468  0.14920  0.06330  0.16475
SN: ASASSN-16fs 150 0.02915 0.02915 35.39791  0.15000  0.06300  0.03195
SN: 2003ch      63 0.02919 0.02919 35.76933  0.15810  0.06290  0.02044
SN: PSNJ0859349 150 0.02920 0.02920 35.53504  0.14480  0.06290  0.06396
SN: 2007cc      65 0.02935 0.02935 35.38302  0.17630  0.06260  0.02528
SN: AT2017zd   150 0.02942 0.02942 35.48246  0.14600  0.06240  0.04215
SN: 2002de      63 0.02950 0.02950 35.54409  0.15660  0.06230  0.03030
SN: ATLAS17ajn 150 0.02971 0.02971 35.67828  0.15680  0.06180  0.03272
SN: Gaia16bba  150 0.02976 0.02976 35.63896  0.14480  0.06170  0.05207
SN: 2002ck      63 0.02987 0.02987 35.71675  0.15480  0.06150  0.02467
SN: ASASSN-15nq 150 0.02994 0.02994 35.71922  0.14210  0.06140  0.03269
SN: ASASSN-16br 150 0.03004 0.03004 35.72874  0.14380  0.06120  0.04412
SN: 2004ef      64 0.03012 0.03012 35.61160  0.14720  0.06100  0.04392
SN: ASASSN-16aj 150 0.03016 0.03016 35.58466  0.14450  0.06090  0.03391
SN: AT2017lm   150 0.03054 0.03054 35.76909  0.15470  0.06020  0.04401
SN: CSS160428  150 0.03088 0.03088 35.83952  0.14080  0.05950  0.05684
